City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
525,Tezu,IN,76.41,broken clouds,27.92,96.17,Circuit House
530,Vila Do Maio,CV,84.2,broken clouds,15.13,-23.22,Residence 'I Delfini'
538,Los Llanos De Aridane,ES,84.99,clear sky,28.66,-17.92,Valle Aridane
542,Miyako,JP,77.5,clear sky,39.64,141.95,Hotel Route Inn Miyako
543,Piotrkow Trybunalski,PL,75.0,few clouds,51.41,19.7,Best Western Hotel Trybunalski
549,Kutum,SD,80.1,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
550,Flora,US,84.2,scattered clouds,38.67,-88.49,OYO Hotel Flora IL North
552,Kirakira,SB,79.77,overcast clouds,-10.45,161.92,SanBiz Lodge
553,Gbadolite,CD,78.39,moderate rain,4.28,21.02,Zenic
555,Naze,JP,80.6,few clouds,28.37,129.48,奄美ポートタワーホテル
556,Kismayo,SO,77.61,few clouds,-0.36,42.55,Agan-Hotel
557,Laurel,US,88.0,clear sky,39.1,-76.85,Days Inn & Suites by Wyndham Laurel Near Fort Meade
559,San Quintin,MX,76.8,clear sky,30.48,-115.95,Old Mill Hotel
560,Lata,PT,75.99,clear sky,40.16,-8.33,Casa Maquia
561,Sola,VU,80.6,overcast clouds,-13.88,167.55,Leumerus Bungalows
568,Masuri,KR,80.6,broken clouds,35.85,128.15,가야힐리언스 펜션
569,Tanete,ID,75.78,broken clouds,-3.94,119.78,Wisma Tri Multi
570,Marechal Candido Rondon,BR,86.0,clear sky,-24.56,-54.06,Hotel Bender
571,Agar,IN,76.37,overcast clouds,23.7,76.02,Bherav Mandir
575,Garissa,KE,85.35,clear sky,-0.45,39.64,Sharif Plaza Hotel
576,Santa Maria,BR,75.06,light rain,-29.68,-53.81,Hotel Morotin
578,Chakia,IN,83.37,scattered clouds,26.42,85.05,Rajeev
581,Karimnagar,IN,76.42,overcast clouds,18.43,79.15,OYO 64335 Brundavanam Resort
582,Damaturu,NG,85.77,light rain,11.75,11.96,Summit Conference Centre
586,Honiara,SB,78.13,overcast clouds,-9.43,159.95,Heritage Park Hotel
587,Beira,MZ,77.0,clear sky,-19.84,34.84,Beira Terrace Hotel
588,Greenwood,US,84.0,clear sky,34.17,-82.12,Quality Inn Greenwood Hwy 25
589,Pochutla,MX,80.6,moderate rain,15.74,-96.47,Hotel Posada San Jose
592,Luwingu,ZM,76.98,overcast clouds,-10.26,29.93,"Mountain City Lodge. Luwingu, Zambia"
594,Lixourion,GR,86.0,clear sky,38.2,20.43,Summery Hotel
601,Menongue,AO,88.14,clear sky,-14.66,17.69,Ritz Lauca
603,Paducah,US,77.0,overcast clouds,37.08,-88.6,Holiday Inn Paducah Riverfront
606,Pontianak,ID,76.64,light rain,-0.03,109.33,Aston Pontianak Hotel & Convention Center
610,Marigot,MF,89.6,haze,18.07,-63.08,Royal Palm Beach Resort
615,Muncar,ID,76.01,broken clouds,-8.43,114.33,Zaky Homestay
616,Abha,SA,78.8,scattered clouds,18.22,42.51,Abha Hotel
618,Guatire,VE,81.0,few clouds,10.48,-66.54,Parque Residencial Canaima I
619,Gerash,IR,89.6,scattered clouds,27.67,54.14,Chelpasin
620,Lazaro Cardenas,MX,80.73,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
629,Alvaraes,BR,84.2,scattered clouds,-3.22,-64.8,Av. Castelo Branco. Ginásio Ermelino vieira.
633,Matara,LK,80.13,scattered clouds,5.95,80.54,Amaloh Boutique Resort
636,Lubango,AO,80.6,few clouds,-14.92,13.49,Hotel Serra da Chela
637,Ravar,IR,75.56,clear sky,31.27,56.81,computertik
639,Paraiso,CR,78.8,scattered clouds,9.84,-83.87,Rinconcito Verde
640,Aksu,CN,76.08,scattered clouds,41.12,80.26,Pudong Holiday Hotel
643,Mangochi,MW,76.01,clear sky,-14.48,35.26,Eunice Guesthouse
646,Samarai,PG,78.44,overcast clouds,-10.62,150.67,Nuli Sapi
649,Fethiye,TR,86.0,clear sky,36.62,29.12,Club & Hotel Letoonia
650,Luanda,AO,75.2,broken clouds,-8.84,13.23,EPIC SANA Luanda
652,Brigantine,US,84.0,clear sky,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
658,Conakry,GN,80.6,light rain,9.54,-13.68,Riviera Royal Hotel
662,Bubaque,GW,81.12,light rain,11.28,-15.83,Casa Dora
667,Mazatlan,MX,81.0,light rain,23.22,-106.42,Gaviana Resort
668,Iracoubo,GF,86.22,overcast clouds,5.48,-53.2,Le Gite D Iracoubo
672,Hasaki,JP,80.6,few clouds,35.73,140.83,Inubosaki Kanko Hotel
673,Jiazi,CN,81.18,overcast clouds,22.88,116.07,Hotel Jin Hao
674,Karpathos,GR,82.4,few clouds,35.51,27.21,Alex
678,Veraval,IN,81.37,overcast clouds,20.9,70.37,Lords Inn Somnath
683,Port Blair,IN,82.56,broken clouds,11.67,92.75,Fortune Resort Bay Island
684,Betioky,MG,76.5,overcast clouds,-23.72,44.38,Bungalows Acacias Hotel
689,Kasungu,MW,75.31,broken clouds,-13.03,33.48,Chikambe Motel
690,Tevaitoa,PF,76.59,scattered clouds,-16.78,-151.5,Hôtel Raiatea Lodge
692,Kambove,CD,78.35,few clouds,-10.88,26.6,Couvant des soeurs catholiques
